Papilla_of_tongue	Papilla_of_the_Tongue
Right_subclavian_artery	Right_Subclavian_Artery
Tonsillar_crypt	Tonsillar_Crypt
Longus_capitis	Longus_Capitis
Duct_of_sebaceous_gland	Sebaceous_Gland_Duct
Nervous_system	Nervous_System
Stratified_cuboidal_epithelium	Stratified_Cuboidal_Epithelium
Posterior_wall_of_oropharynx	Posterior_Wall_of_the_Oropharynx
Set_of_ligaments	Ligament
Scapha	Fossa_of_the_Helix
Popliteal_artery	Popliteal_Artery
Deferent_duct	Vas_Deferens
Fascia_cluster	Fascia
Scleral_venous_sinus	Canal_of_Schlemm
Vocal_fold	True_Vocal_Cord
Vocal_fold	Vocal_Cord
Splenic_pulp	Splenic_Pulp
Schwann_cell	Schwann_Cell
Spermatid	Spermatid
Suppressor_effector_T_lymphocyte	Suppressor-Effector_T-Lymphocyte
Vertebral_column	Vertebral_Column
Piriform_fossa	Pyriform_Sinus
Helix	Helix_Structure
Helix	Helix
Primary_hair	Lanugo
Third_ventricle	Third_Ventricle_of_Brain
Pillar_cell_of_cochlea	Pillar_Cell
Respiratory_system	Respiratory_System
Respiratory_system	Lung
Vinculin	Vinculin
N_cadherin	N-Cadherin
Set_of_seminiferous_tubules	Seminiferous_Tubule
Cardia_of_stomach	Cardia
Neurotendinous_ending	Golgi_Tendon_Organ
Uncinate_process_of_pancreas	Uncinate_Pancreas
Muscle_of_anterior_abdominal_wall	Anterior_Abdominal_Wall_Muscle
Quadratus_lumborum	Quadratus_Lumborum
Polysaccharide	Dietary_Polysaccharide
Polysaccharide	Polysaccharide
External_jugular_vein	External_Jugular_Vein
Hemopoietic_stem_cell	Hematopoietic_Stem_Cell
Y_chromosome	Chromosome_Y
Betaglycan	Transforming_Growth_Factor_Beta_Receptor-III
Occipital_lobe	Occipital_Lobe
Anterior_inferior_cerebellar_artery	Anterior_Inferior_Cerebellar_Artery
Radial_artery	Radial_Artery
Cochlear_inner_hair_cell	Inner_Hair_Cell_of_the_Organ_of_the_Corti
Cochlear_inner_hair_cell	Type_I_Hair_Cell
Hepatic_artery	Hepatic_Artery
Epithelioid_cell	Epithelioid_Cell
Lower_lobe_of_lung	Lung_Lower_Lobe
Precentral_sulcus	Precentral_Sulcus
Transitional_epithelium	Transitional_Epithelium
Pectoralis_major	Pectoralis_Major
Lumbar_nerve	Lumbar_Nerve
Sigmoid_colon	Sigmoid_Colon
Luteinizing_hormone	Therapeutic_Luteinizing_Hormone
Luteinizing_hormone	Luteinizing_Hormone
Hypoglossal_nerve_nucleus	Nucleus_of_the_Hypoglossal_Nerve
Hypoglossal_nerve_nucleus	Hypoglossal_Nucleus
Prepuce_of_penis	Male_Prepuce
Prepuce_of_penis	Prepuce
Arachnoid_villus	Arachnoid_Villus
Hard_palate	Hard_Palate
Juxtaglomerular_complex	Juxtaglomerular_Apparatus
Digit	Digit
Digit	Digit_Number
Striated_muscle_tissue	Striated_Muscle_Tissue
Thyroid_cartilage	Thyroid_Cartilage
Primary_ossification_center	Primary_Ossification_Center
Chromosome	Chromosome
Hemidesmosome	Hemidesmosome
Gastric_foveola	Gastric_Pit
High_densitiy_lipoprotein	High_Density_Lipoprotein
Epitympanic_recess	Epitympanic_Recess
Interosseous_muscle_of_hand	Hand_Interosseous_Muscle
Posterior_chamber_of_eyeball	Posterior_Chamber_of_the_Eye
Costodiaphragmatic_recess	Costophrenic_Angle
Inferior_sagittal_sinus	Inferior_Sagittal_Sinus
Pia_mater	Pia_Mater
Amacrine_cell	Amacrine_Cell
Short_bone	Short_Bone
Paranasal_sinus	Paranasal_Sinus_Retired
Paranasal_sinus	Paranasal_Sinus
Tectorial_membrane_of_cochlea	Tectorial_Membrane
Portion_of_blood	Blood
Popliteal_vein	Popliteal_Vein
Posterior_commissure	Posterior_Commissure
Dental_pulp_cell	Tooth_Cell
Central_insular_sulcus	Sulcus_Centralis_Insulae
Sacral_nerve	Sacral_Nerve
E_cadherin	E-Cadherin
Skin_of_neck	Neck_Skin
Interventricular_foramen	Interventricular_Foramen
Superior_gluteal_artery	Gluteal_Artery
Internal_cerebral_vein	Internal_Cerebral_Vein
Testicular_artery	Spermatic_Artery
Renal_column	Cortical_Column
Vestibular_fold	False_Vocal_Cord
Right_testicular_artery	Right_Spermatic_Artery
Spinal_accessory_nerve	Accessory_Nerve
Spinal_accessory_nerve	Spinal_Accessory_Nerve
Sternothyroid	Sternothyroid
Epithelium_of_urethra	Urethra_Epithelium
Paraurethral_gland	Paraurethral_Gland
Paraurethral_gland	Skene_s_Gland
Transport_vesicle	Transport_Vesicle
Linker_DNA	Linker_DNA
Optic_chiasm	Chiasma
Temporal_artery	Temporal_Artery
Anal_gland	Anal_Gland
Pelvis	Pelvis
Seminal_vesicle	Seminal_Vesicle
Synovial_joint	Diarthrosis
Nasal_mucus	Nasal_Mucus
Parotid_duct	Parotid_Duct
Inferior_colliculus	Testis
Inferior_colliculus	Posterior_Quadrigeminal_Body
Keratan_sulfate	Keratan_Sulfate
Alpha_cell	Alpha_Cell
Structural_gene	Molecular_Abnormality
Structural_gene	Structural_Gene
Structural_gene	Gene
Median_nerve	Median_Nerve
Right_hepatic_duct	Right_Hepatic_Duct
Stearic_acid	Stearic_Acid
Osteocyte	Osteocyte
Prostatic_stroma	Prostatic_Stroma
Temporomandibular_joint	Jaw_Joint
Thoracodorsal_artery	Thoracodorsal_Artery
Ankle_joint	Ankle_Joint
Superior_vestibular_nucleus	Superior_Vestibular_Nucleus
Axial_skeleton	Axial_Skeleton
Thyrohyoid	Thyrohyoid
Simple_columnar_epithelium	Simple_Columnar_Epithelium
Superior_sagittal_sinus	Superior_Sagittal_Sinus
Posterior_wall_of_nasopharynx	Posterior_Wall_of_the_Nasopharynx
Fibrous_astrocyte	Fibrous_Astrocyte
Interstitial_cell_of_Cajal	Interstitial_Cell_of_Cajal
Corpus_striatum	Corpus_Striatum
Perianal_skin	Anal_Margin
Semitendinosus	Semitendinosus
Crypt_of_Lieberkuhn	Crypts_of_the_Lieberkuhn
Fifth_sacral_vertebra	S5_Vertebra
Glandular_cell	Glandular_Cell
Left_ovary	Left_Ovary
Vestibular_labyrinth	Vestibular_Labyrinth
Specialized_epithelial_cell	Specialized_Epithelial_Cell
Cochlear_duct_of_membranous_labyrinth	Cochlear_Duct
Small_intestine	Small_Intestine
Small_intestine	Intestine_Small_Intestine_MMHCC
Small_intestine	Small_Intestinal_Fibrosarcoma
Neurohypophysis	Posterior_Lobe_of_the_Pituitary_Gland
Sixth_thoracic_vertebra	T6_Vertebra
Glenohumeral_joint	Shoulder_Joint
Simple_squamous_epithelium	Simple_Squamous_Epithelium
Hematopoietic_cell	Hematopoietic_Cell
Capsule	Capsule
Pylorus	Pylorus
Frontal_nerve	Frontal_Nerve
Segmental_bronchus	Segmental_Bronchus
Sphenoid_bone	Sphenoid_Sinus
Sphenoid_bone	Sphenoid_Bone
Retina	Retina
Retina	Eye_Retina_MMHCC
Inferior_frontal_gyrus	Inferior_Frontal_Gyrus
Inferior_frontal_gyrus	Inferior_Frontal_Convolution
Hormone	Hormone
Teres_minor	Teres_Minor_Muscle
Plantar_part_of_foot	Plantar_Region
Hindgut	Hindgut
Nuclear_inclusion	Nuclear_Inclusion
Heparin	Heparin
Tricuspid_valve	Tricuspid_Valve
Head_of_rib	Rib_Head
Valine	Valine
Muscle_of_larynx	Laryngeal_Muscle
Nasal_muscle	Nasal_Muscle
Sublingual_gland	Sublingual_Salivary_Gland
Intraparietal_sulcus	Intraparietal_Sulcus
Chondroitin_sulfate	Chondroitin_Sulfate
Posterior_cranial_fossa	Posterior_Fossa
Renal_corpuscle	Renal_Corpuscle
Galactose	Galactose
Lesser_trochanter	Lesser_Trochanter
Fetal_heart	Fetal_Heart
Superior_mesenteric_vein	Superior_Mesenteric_Vein
Zygote	Zygote
Pectinate_line	Pectinate_Line
Mucosa_of_esophagus	Esophageal_Mucosa
Mammillary_body	Mamillary_Body
Embryonic_cell	Embryonic_Cell
Right_adrenal_gland	Right_Adrenal_Gland
Multipolar_neuron	Multipolar_Neuron
Sex_chromatin	Barr_Body
Neck_of_femur	Femoral_Neck
Plasma_membrane_of_muscle_cell	Sarcolemma
Skull	Skull
Orbicularis_oculi	Orbicularis_Oculi
Medulla_of_thymus	Thymus_Medulla
Carotid_body	Carotid_Body
Set_of_viscera	Viscera
Spermatic_cord	Spermatic_Cord
Splenius	Splenius
Styloglossus	Styloglossus
Posterior_surface_of_kidney	Kidney_Posterior_Surface
Posterior_surface_of_kidney	Posterior_Surface_of_the_Kidney
Lip	Lip
Lipid	Lipid
Mandible	Mandible
Tryptophan	Tryptophan
Lower_lobe_of_left_lung	Lower_Lobe_of_the_Left_Lung
Purine	Purine
Face	Face
Levator_labii_superioris	Levator_Labii_Superioris
Hepatic_lobule	Hepatic_Lobule
Ganglion	Ganglion
Right_colic_flexure	Hepatic_Flexure
Cricoid_cartilage	Cricoid_Cartilage
Trophoblast_cell	Trophoblastic_Cell
Flatus	Flatus
Plasma_membrane	Plasma_Membrane
Plasma_membrane	Cellular_Membrane
Ectodermal_cell	Ectoderm_Cell
Cell_adhesion_molecule	Cell_Adhesion_Molecule
Greater_curvature_of_stomach	Greater_Curvature
Basal_layer_of_endometrium	Basal_Layer_of_the_Endometrium
Basaloid_cell	Basaloid_Cell
Right_uterine_tube	Right_Fallopian_Tube
Corticotropin_releasing_factor	Corticotropin_Releasing_Hormone
Monosaccharide	Monosaccharide
Dorsolateral_fasciculus_of_medulla	Tract_of_Lissauer
Myoepithelial_cell	Myoepithelial_Cell
Monocyte_chemoattractant_protein_3	Small_Inducible_Cytokine-A7
Common_cardinal_vein	Common_Cardinal_Vein
Facial_artery	Facial_Artery
Articular_cartilage	Articular_Cartilage
Superior_frontal_gyrus	Superior_Frontal_Convolution
Superior_frontal_gyrus	Superior_Frontal_Gyrus
Synoviocyte	Synovial_Cell
Descending_colon	Descending_Colon
Left_suprarenal_vein	Left_Suprarenal_Vein
Somatostatin	Growth_Hormone_Release_Inhibiting_Factor
Somatostatin	Somatostatin
Transverse_fold_of_rectum	Transverse_Rectal_Fold
Celiac_ganglion	Coeliac_Ganglion
Hepatocyte	Hepatocyte
Spermatocyte	Spermatocyte
Hair_follicle	Hair_Follicle
Pluripotent_stem_cell	Pluripotent_Stem_Cell
Lymphatic_capillary	Lymphatic_Capillary
Endosteal_cell	Endosteal_Cell
Endothelium_of_arteriole	Arteriole_Endothelium
Thoracic_duct	Thoracic_Duct
Thalamus	Thalamus
Cardinal_body_part	Body_Region
Hilum_of_spleen	Splenic_Hilum
Rod_cell	Rod
Nasal_bone	Nasal_Bone
Dense_irregular_connective_tissue	Irregular_Dense_Connective_Tissue
Distal_phalanx_of_finger	Distal_Phalanx_of_Hand
Distal_phalanx_of_finger	Distal_Phalanx_of_the_Hand
Substantia_nigra	Substantia_Nigra
Pyloric_gland	Pyloric_Gland
Auditory_cortex	Auditory_Cortex
Internal_iliac_vein	Internal_Iliac_Vein
Dopamine	Dopamine_Base
Dopamine	Dopamine
Cervical_vertebra	Cervical_Vertebra
Low_density_lipoprotein	Low_Density_Lipoprotein
Neural_stem_cell	Neural_Stem_Cell
Pericallosal_artery	Pericallosal_Artery
Upper_lobe_of_right_lung	Upper_Lobe_of_the_Right_Lung
Cartilage_of_bronchus	Bronchus_Cartilage
Globus_pallidus	Globus_Pallidus
Phagosome	Phagosome
Maxillary_artery	Maxillary_Artery
Triangular	Triangle
Corticotropin	Adrenocorticotropic_Hormone
Phagocyte	Phagocytic_Cell
Spiral_organ_of_cochlea	Organ_of_Corti
Spiral_organ_of_cochlea	Spiral_Organ_of_Corti
Right_ureter	Right_Ureter
Parasympathetic_ganglion	Parasympathetic_Ganglion
Thyroid_gland	Thyroid_Gland
Set_of_axillary_lymph_nodes	Axillary_Lymph_Node
Spinal_nerve	Spinal_Nerve
Arch_of_aorta	Aortic_Arch
Corneal_epithelium	Corneal_Epithelium
Olfactory_nerve	Olfactory_Nerve
Olfactory_nerve	Olfactory_Nerve_Neoplasm
Microtubule	Microtubule
Ventral_anterior_nucleus	Vertebral_Artery
Cuneiform_cartilage	Cuneiform_Cartilage
Gingival_margin	Gingival_Margin
Synapse	Synapse
Roof_of_nasopharynx	Superior_Wall_of_the_Nasopharynx
Splenic_vein	Splenic_Vein
Hypoglossal_nerve	Hypoglossal_Nerve
Epigastrium	Epigastric_Region
Diaphragma_sellae	Diaphragma_Sellae
Proline	Proline
Lymphocyte	Lymphocyte
Tongue	Tongue
Cytoskeleton	Cytoskeleton
Mesothelium	Mesothelium
Epithelium_of_esophagus	Esophageal_Epithelium
Muscle	Muscle
Muscle	Muscle_Tissue
Rectus_abdominis	Rectus_Abdominis
Cuboid_bone	Cuboid_Bone
Beta_cell	Beta_Cell
Granular_leukocyte	Granulocyte
Granular_leukocyte	Leukocyte_Myelocyte_Granulocyte_MMHCC
Inferior_parathyroid_gland	Inferior_Parathyroid_Gland
Seminal_fluid	Seminal_Fluid
Tenth_thoracic_vertebra	T10_Vertebra
Myometrium	Myometrium
Smegma	Smegma
Microglial_cell	Microglia
Flat_bone	Flat_Bone
Stratified_squamous_epithelium	Stratified_Squamous_Epithelium
Aorta	Aorta
Erythroid_progenitor_cell	Erythroid_Progenitor_Cell
Medial_geniculate_body	Internal_Geniculate_Body
Leukocyte	Non-Granular_Leukocyte
Leukocyte	Leukocyte
Leukocyte	Leukocyte_WBC_MMHCC
Purkinje_fiber	Purkinje_Fiber
Adenine	Adenine
Erythroblast	Erythroblast
Brown_adipose_tissue	Brown_Adipose_Tissue
Fourth_lumbar_vertebra	L4_Vertebra
Lateral_sulcus	Fissure_of_Sylvius
Intervertebral_disk	Intervertebral_Disc
Heterochromatin	Heterochromatin
Set_of_bronchioles	Bronchiole
Lacrimal_nerve	Lacrimal_Nerve
Glenoid_fossa	Glenoid_Fossa
Vimentin	Vimentin_Protein
Bronchial_vein	Bronchial_Vein
Trigeminal_ganglion	Trigeminal_Ganglion
Fucose	Fucose
Lower_gastrointestinal_tract	Lower_Gastrointestinal_Tract
Parasternal_lymph_node	Internal_Mammary_Lymph_Node
Hepatic_sinusoid	Hepatic_Sinusoid
Peripheral_blood_cell	Peripheral_Blood_Cell
Skin_of_head	Head_Skin
Third_thoracic_vertebra	T3_Vertebra
Transverse_plane	Transverse_Plane
Set_of_phalanges_of_foot	Phalanx_of_the_Foot
Set_of_phalanges_of_foot	Foot_Phalanx
Anterior_cruciate_ligament	Anterior_Cruciate_Ligament
Septum_primum	Septum_Primum
Peripheral_blood_stem_cell	Peripheral_Blood_Stem_Cell
Branch_of_basilar_artery	Basilar_Artery_Branch
Common_palmar_digital_artery	Common_Palmar_Digital_Artery
Pons	Pons_Varolii
Olfactory_bulb	Olfactory_Bulb
Extraglomerular_mesangial_cell	Extraglomerular_Mesangial_Cell
Lymph_node	Lymph_Node
Submental_vein	Submental_Vein
Alanine	Alanine
Trigeminal_nuclear_complex	Trigeminal_Nucleus
Endocrine_gland	Endocrine_Gland
Fibularis_longus	Peroneus_Longus
Glans_penis	Glans_Penis
Saliva	Saliva
Sebum	Sebum
Sebum	Sebum_MMHCC
Neural_crest	Neural_Crest
Intermediate_trophoblast_cell	Intermediate_Trophoblast
Left_lobe_of_thyroid_gland	Left_Thyroid_Gland_Lobe
Lamellar_bone	Mature_Bone
Apex_of_heart	Apex_of_the_Heart
Latissimus_dorsi	Musculus_Latissimus_Dorsi
Lateral_wall_of_nasopharynx	Lateral_Wall_of_the_Nasopharynx
Primordial_germ_cell	Primordial_Germ_Cell
Lumbosacral_nerve_plexus	Lumbosacral_Plexus
Heparan_sulfate	Heparan_Sulfate
Osteoblast	Osteoblast
Oligosaccharide	Oligosaccharide
Flexor_digitorum_profundus	Flexor_Digitorum_Profundus
Third_sacral_vertebra	S3_Vertebra
Inner_membrane_of_mitochondrion	Inner_Mitochondrial_Membrane
Circumflex_branch_of_left_coronary_artery	Circumflex_Branch_of_the_Left_Coronary_Artery
Oxyphil_cell_of_thyroid	Thyroid_Gland_Oxyphil_Cell
Set_of_microglial_cells	Microglia
Muscle_of_face	Facial_Muscle
Antihelix	Antihelix
Retromandibular_vein	Temporo-maxillary_Vein
Cell_cavity	Cell_Space
Costal_cartilage	Costal_Cartilage
Corneoscleral_junction	Corneoscleral_Limbus
Skin_of_knee	Knee_Skin
Inner_cell_mass	Inner_Cell_Mass
Temporal_vein	Temporal_Vein
Conjunctiva	Conjunctiva
Neurilemma	Sheath_of_Schwann
Cardiac_myocyte	Cardiocyte
Tarsal_bone	Tarsal_Bone
Posterior	Posterior
Secretory_granule	Secretory_Granule
Sinus	Sinus
Dentition	Tooth
Dentition	Dentition
Intermediate_filament	Intermediate_Filament
Transitional_epithelial_cell_of_urinary_bladder	Bladder_Transitional_Cell
Transitional_epithelial_cell_of_urinary_bladder	Urothelial_Cell
Anterior_median_fissure_of_spinal_cord	Anterior_Median_Fissure_of_Spinal_Cord
Urachus	Urachus
Neuroglial_cell	Glial_Cell
Cytoplasmic_inclusion	Cytoplasmic_Inclusion
External_nose	External_Nose
Duodenal_gland	Brunner_s_Gland
Body_of_stomach	Body_of_Stomach
Muscle_of_abdomen	Abdominal_Muscle
Midgut	Midgut
Superior_rectal_artery	Superior_Hemorrhoidal_Artery
Eccrine_sweat_gland	Eccrine_Sweat_Gland
Geniculate_ganglion	Geniculate_Ganglion
Vertebral_artery	Vertebral_Artery
Neuron	Neuron
Neuron	Neuron_and_Supporting_Cell_of_the_Nervous_System
Duodenum	Duodenum
Internal_capsule	Internal_Capsule
Interatrial_septum	Interatrial_Septum
White_matter_of_cerebellum	Cerebellum_White_Matter
Skin_of_trunk	Skin_of_the_Trunk
Fatty_acid	Fatty_Acid
Septum_secundum	Septum_Secundum
Epicondyle	Epicondyle
Iris	Uvea
Iris	Iris
Gray_matter_of_spinal_cord	Gray_Matter_of_the_Spinal_Cord
Node_of_Ranvier	Node_of_Ranvier
Metamyelocyte	Metamyelocyte
Labyrinthine_artery	Internal_Auditory_Artery
Utriculosaccular_duct	Utriculosaccular_Duct
Circular_muscle_layer_of_abdominal_part_of_esophagus	Lower_Esophageal_Sphincter
Axilla	Axilla
Metanephros	Metanephros
Vasa_vasorum	Vasa_Vasorum
Laryngopharynx	Hypopharynx
Laryngopharynx	Laryngopharynx
Molar_tooth	Molar_Tooth
Posterior_tibial_artery	Posterior_Tibial_Artery
Posterior_crico_arytenoid_ligament	Posterior_Cricoarytenoid_Ligament
Cricothyroid_joint	Cricothyroid_Joint
Capillary	Blood_Capillary
Capillary	Capillary
Major_salivary_gland	Major_Salivary_Gland
T_helper_cell_type_2	Type_2_Helper_Cell
Anterior_auricular_vein	Anterior_Auricular_Vein
T_helper_cell_type_1	Type_1_Helper_Cell
Systemic_vein	Systemic_Vein
Lymphokine_activated_natural_killer_cell	Lymphokine-Activated_Natural_Killer_Cell
Membranous_labyrinth	Membranous_Labyrinth
Azygos_vein	Azygos_Vein
Aryepiglotticus	Aryepiglottic_Muscle
Ascending_part_of_duodenum	Fourth_Portion_of_the_Duodenum
Caproic_acid	Caproic_Acid
Middle_mediastinum	Middle_Mediastinum
Ischium	Ischium
Left_subcostal_vein	Left_Subcostal_Vein
Semispinalis_capitis	Semispinalis_Capitis
Nucleosome	Nucleosome
Decidua	Decidua
Intestinal_secretion	Intestinal_Secretion
Bone_of_hamate	Hamate_Bone
Posterior_pole_of_lens	Posterior_Pole_of_the_Lens
Set_of_paranasal_sinuses	Paranasal_Sinus
Skin_of_foot	Foot_Skin
Integument	Skin
Lamina_propria_of_bronchus	Bronchus_Lamina_Propria
Anterior_meningeal_branch_of_anterior_ethmoidal_artery	Anterior_Meningeal_Artery
Ilium	Ilium
Arteriovenous_anastomosis	Arteriovenous_Shunt
Cervical_vertebral_column	Cervical_Spine
Fusiform_cell	Fusiform_Cell
Tonsillar_ring	Waldeyers_Tonsillar_Ring
Foramen_magnum	Foramen_Magnum
Vestibulocochlear_nerve	Vestibulocochlear_Nerve
Glandular_cell_of_stomach	Gastric_Glandular_Cell
Levator_ani	Levator_Ani
Premolar_tooth	Bicuspid_Tooth
Posterior_longitudinal_ligament	Posterior_Longitudinal_Ligament
Laryngeal_cartilage	Laryngeal_Cartilage
Testicular_vein	Spermatic_Vein
Temporalis	Temporal_Muscle
Minus_end_of_microtubule	Minus_End_of_the_Microtubule
Brachiocephalic_vein	Innominate_Vein
Myelin	Myelin
Myelin	Myelin_Sheath
Cell_junction	Cell_Junction
Right_testis	Right_Testis
Synovial_membrane	Synovial_Membrane
Sweat_gland	Sweat_Gland
Eotaxin	CCL11_Gene
Eotaxin	Small_Inducible_Cytokine-A11
Radius	Radius
Radius	Radius_Bone
Left_inguinal_part_of_abdomen	Left_Inguinal_Region
Lateral_aperture_of_fourth_ventricle	Foramen_of_Luschka
Seventh_cervical_vertebra	C7_Vertebra
Type_II_alveolar_epithelial_cell	Alveolar_Cell_Type_II
Toe	Toe
P_cadherin	P-Cadherin
Inferior_mesenteric_artery	Inferior_Mesenteric_Artery
Ganglion_cell	Ganglion_Cell
Lobule	Lobule
Smooth_muscle_tissue	Smooth_Muscle_Tissue
Lactiferous_terminal_ductal_lobular_unit	Terminal_Ductal_Lobular_Unit
Syndecan	Syndecans
Membrane_of_mitochondrion	Mitochondrial_Membrane
Perineum	Perineum
Endothelium	Endothelium
Fifth_cervical_vertebra	C5_Vertebra
Longitudinal_fissure	Longitudinal_Fissure
Saccule_of_membranous_labyrinth	Saccule
Epineurium	Epineurium
Anterior	Anterior
Subthalamic_nucleus	Subthalamic_Nucleus
Mononuclear_phagocyte_system	Reticuloendothelial_System
Inflow_part_of_right_atrium	Sinus_Venarum
Obturator_muscle	Obturator_Muscle
Leg	Leg
Sulcus_limitans	Sulcus_Limitans
Tentorium_cerebelli	Tentorium_Cerebelli
Internal_thoracic_artery	Internal_Mammary_Artery
Point	Point
Estrogen	Estrogen
Epithelium_of_nasopharynx	Nasopharynx_Epithelium
Gastrophrenic_ligament	Gastrophrenic_Ligament
Peritoneal_macrophage	Peritoneal_Macrophage
Cymba_conchae_of_pinna	Cymba_Conchae
Oral_cavity	Buccal_Cavity
Oral_cavity	Oral_Cavity
Skeletal_muscle_cell	Skeletal_Fiber
Skeletal_muscle_cell	Rhabdomyocyte
Skeletal_muscle_cell	Muscle_Fibers_Slow-Twitch
Skeletal_muscle_cell	Skeletal_Muscle_Cell
Skeletal_muscle_cell	Muscle_Fibers_Fast-Twitch
Mechanoreceptor	Mechanoreceptor
Buccal_salivary_gland	Buccal_Salivary_Gland
Epithelium_of_vagina	Vaginal_Epithelium
Semicircular_duct	Semicircular_Duct
Left_common_iliac_artery	Left_Common_Iliac_Artery
Dorsal_part_of_foot	Dorsal_Region_of_Foot
Occipital_bone	Occipital_Bone
Basal_cell	Basal_Cell
Endocardium	Endocardium
Endocardium	Endocardial_Myxoma
Axillary_vein	Axillary_Vein
Cartilage_tissue	Cartilagenous_Tissue
Intermediate	Muscle_Fibers_Slow-Twitch
Intermediate	Intermediate
Composite	Composite
Anterior_commissure	Anterior_Commissure
Mental_artery	Mental_Artery
Stem_cell	Hematopoietic_Stem_Cell
Stem_cell	Stem_Cell
Prostatic_utricle	Prostatic_Utricle
Pulmonary_trunk_sinus	Sinus_of_Valsava
Left_cerebral_hemisphere	Left_Cerebral_Hemisphere
Nasal_septum	Nasal_Septum
Interleukin_9	Interleukin-9
Interleukin_8	Interleukin-8
Interleukin_8	Therapeutic_Interleukin-8
Ovarian_medulla	Ovarian_Medulla
Interleukin_5	Interleukin-5
Interleukin_4	Interleukin-4
Interleukin_7	Interleukin-7
Interleukin_6	Interleukin-6
Posterior_inferior_cerebellar_artery	Posterior_Inferior_Cerebellar_Artery
Anterior_limiting_lamina_of_cornea	Bowman_s_Membrane
Acromioclavicular_joint	Acromioclavicular_Joint
Tubercle_of_rib	Rib_Tubercle
Collagen_fiber	Collagen_Fiber
Collagen_fiber	Collagen_Fibril
Wall_of_organelle	Intracellular_Membrane
Isoleucine	Isoleucine
Cricothyroid_muscle	Cricothyroid_Muscle
Posterior_parietal_artery	Posterior_Parietal_Artery
Myelin_sheath	Myelin_Sheath
Decidual_cell	Decidual_Cell
Bony_labyrinth	Osseous_Labyrinth
Osteon	Haversian_System
Cecum	Cecum
Rectovesical_pouch	Recto-Vesical_Pouch
Middle_frontal_gyrus	Middle_Frontal_Gyrus
Femoral_artery	Femoral_Artery
Nail	Nail_Plate
Nail	Nail
Uterine_tube	Fallopian_Tube
Prostatic_epithelium	Prostatic_Epithelium
T_lymphoblast	T-Lymphoblast
Secondary_nodular_lymphoid_tissue	Germinal_Center
Apical_foramen_of_root_of_tooth	Foramen_Apicis_Dentis
Fibronectin	Fibronectin
Optic_tract	Optic_Tract
Axillary_tail_of_breast	Axillary_Tail_of_the_Breast
Thyrohyoid_ligament	Thyrohyoid_Ligament
Mitochondrial_deoxyribonucleic_acid	Mitochondrial_DNA
Cutaneous_vein	Cutaneous_Vein
Syncytial_trophoblast	Syncytiotrophoblast
Retroperitoneal_space	Retroperitoneum
Retroperitoneal_space	Retroperitoneal_Space
Ileocolic_vein	Ileocolic_Vein
Tragus	Tragus
Vertical	Vertical
Vitreous_chamber_of_eyeball	Vitreous_Chamber
Celiac_trunk	Coeliac_Artery
Labium_majus	Labium_Majus
Subarachnoid_cistern	Subarachnoid_Cistern
Integumentary_system	Integumentary_System
Esophageal_artery	Esophageal_Artery
Set_of_splenic_trabeculae	Splenic_Trabecula
Upper_limb	Upper_Extremity
Utricle_of_membranous_labyrinth	Utricle
Utricle_of_membranous_labyrinth	Prostatic_Utricle
Amphiarthrosis	Amphiarthrosis
Enteroendocrine_cell	Enteroendocrine_Cell
Enteroendocrine_cell	Enterochromaffin_Cell
Nonmembranous_cytoplasmic_organelle	Nonmembranous_Cytoplasmic_Organelle
Coracobrachialis	Coracobrachialis
Bulb_of_hair_follicle	Hair_Bulb
Bone	Bone
Centriole	Centriole
Thoracic_vertebra	Thoracic_Vertebra
Vitelline_vein	Vitelline_Vein
Interleukin_1	Interleukin-1
Promonocyte	Promonocyte
Superior_suprarenal_artery	Superior_Suprarenal_Artery
Interleukin_3	Interleukin-3
B_lymphoblast	B-Lymphoblast
Interleukin_2	Interleukin-2
Nuclear_lamina	Nuclear_Lamina
Orbital_part_of_inferior_frontal_gyrus	Orbital_Part_of_the_Inferior_Frontal_Gyrus
Orbital_part_of_inferior_frontal_gyrus	Inferior_Frontal_Gyrus
Body_of_corpus_callosum	Body_of_the_Corpus_Callosum
Body_of_corpus_callosum	Corpus_Callosum
Body_of_corpus_callosum	Corpus_Uteri
Ovarian_cortex	Ovarian_Cortex
Posterior_cerebral_artery	Posterior_Cerebral_Artery
Occipital_horn_of_lateral_ventricle	Occipital_Horn_of_the_Lateral_Ventricle
Cell_body	Perikaryon
Apical	Apical
Thigh	Thigh
Atrioventricular_bundle	Atrioventricular_Bundle
Stroma	Stroma
Stroma	Stroma_Connective_Tissue
Sternum	Sternum
Auditory_system	Auditory_System
Gastrocolic_ligament	Gastrocolic_Ligament
Talus	Talus
Breast	Breast
Lacrimal_sac	Lacrimal_Sac
Ovarian_vein	Ovarian_Vein
Gingival_epithelium	Gingival_Epithelium
Labial_salivary_gland	Labial_Salivary_Gland
Mesentery	Mesentery
Ear	Ear
Ear	External_Ear
Set_of_vertebrae	Vertebra
Right_surface_of_liver	Lateral_Surface_of_the_Liver
Promyelocyte	Promyelocyte
Cytoplasmic_organelle	Cytoplasmic_Organelle
Phospholipid	Phospholipid
Capsule_of_adrenal_gland	Adrenal_Gland_Capsule
Tonsil	Tonsil
Adipose_tissue	Adipose_Tissue
Anterior_parietal_artery	Anterior_Parietal_Artery
Pigmented_layer_of_retina	Retinal_Pigment_Epithelium
